	facts
806	I love to fish, I love to cut down trees, I cut down trees very fast , because i have a large ax, I eat lots of pancakes and syrup, Nike cleats are my favorite, I am a goalie, I joined a new team last month, My number is 42
807	I love to fish, I eat lots of pancakes and syrup, I love to cut down trees, I am a lumberjack, I cut down trees very fast , because i have a large ax, I don t believe any a, Story i ve ever heard, I am wiccan , but haven t told them, My parents are science deniers , but un religious, I work at my community garden center , and volunteer at the animal shelter
808	I love to fish, I eat lots of pancakes and syrup, I cut down trees very fast , because i have a large ax, I love to cut down trees, I am a lumberjack, I love reading, I grew up on a large farm, I enjoy doing beadwork and writing my own patterns, Since i have fibromyalgia , the harsher winters here in pa will be rough on me
809	I love to hike, I like folk music, The appalachian trail is my favorite, I work in marketing, My hiking boots are pink, I am trying to write an ebook on animals, I am recently divorced, I am a huge fan of dogs, I wish to buy a corvette when i retire, I work as a mall cop
810	I love to hike, I am an environmental engineer, I like to take photos, I live alone, I usually catch sunfish, I drink beers and go to the creek, I like fishing, I m a simple man
811	I love to hike, I am an environmental engineer, I like to take photos, I live alone, I live in portland , maine, I sometimes spend too much money at the casino, I once met a man i still believe was a vampire, My favorite food is shrimp, My mom is a palm reader in new orleans
812	I love to hike, The appalachian trail is my favorite, My hiking boots are pink, My favorite food to harvest is carrots, I love to keep a small garden outside of my house, I am seventy one years old, My house is located in the countryside
813	I love to hike, I have visited 12 national parks in the us, I also like to mountain bike, I earn passive income that no one knows about, My dreams are often bizarre, I go surfing any chance i get, I could never be locked down to one partner, My favorite band is the muggers
814	I love to hunt, I grew up in the deep south, My favorite color is blue, My mother was a piano teacher, I hate seafood but love mexican food, I speak french and english fluently, I am an artist, I enjoy hiking, I have two border collies
815	I love to hunt, My mother was a piano teacher, I grew up in the deep south, I hate seafood but love mexican food, I never eat veggies, I am strong, I am young, I am tall, I love to run fast
816	I love to hunt, I hate seafood but love mexican food, My favorite color is blue, I grew up in the deep south, My mother was a piano teacher, I am in high school, I love bruno mars, I love sweets, I cs and ds, I sleep a lot
817	I love to lamp, My favorite band is insane clown posse, I work as an interior designer, I am tall and blonde, I am chubby, I live on a beet farm, I am a paper salesman, I think beets are the best vegetable, My favorite show is battlestar galactica, My favorite animal is a bear
818	I love to larp, I am tall and blonde, I work as an interior designer, My favorite band is insane clown posse, I am chubby, I live with my parents, My favorite movies are disney movies, I am an insatiable reader, I work as a waitress, I love to play soccer
819	I love to read, I am married, Teaching is my passion, My husband is a cop, My favorite place is the beach, Hotdogs are my favorite food, I like reading horror novels, My favorite drink is pepsi, I work as a librarian
820	I love to read, I am a christian, My favorite movie genre is horror, I am a vet tech, My favorite author is stephen king, I have amazing eye sight, Both my parents were over 6 foot tall, I am a democrat, I can jump straight up , out of a pool, I like to only eat fish
821	I love to read, I read three books a week, I dropped out of high school, I learned how to reads when i was three, My favorite food is steak cooked well done, I always have a beer after work, I played football in high school, I am a roofer, I drive a lifted chevy truck
822	I love to read, I read three books a week, I learned how to reads when i was three, I dropped out of high school, I am an engineer, My favorite food is pizza, I decided to quick my job and travel for a couple of months, I love to dance salsa
823	I love to read, I have never been on a date, I once wrote a biography of my favorite actor, I adopted all my dogs, My favorite food is pizza, I also like eating sushi, I am studying for my masters, I am a student in social sciences, Cooking is one of my pass times
